Parent Sku,Marketplace SKU,SKU,Status,Active?
MI-7160,MI-7160,317541355,Onboarded,Yes
MI-7817,MI-7817,319167575,Onboarded,Yes
MI-7818,MI-7818,319167639,Onboarded,Yes
TS-7005,TS-7005,319601367,Onboarded,Yes
MI-SB41,MI-SB41,317541070,Onboarded,Yes
MI-SB39,MI-SB39,317541094,Onboarded,Yes
MI-SB37,MI-SB37,317541120,Onboarded,Yes
MI-SB50,MI-SB50,327686732,Onboarded,Yes
MI-7610,MI-7610,319601793,Onboarded,Yes
MI-SB434,MI-SB434,319601559,Onboarded,Yes
MI-SB44,MI-SB44,319601632,Onboarded,Yes
MI-SB45,MI-SB45,319601653,Onboarded,Yes
MI-SB454,MI-SB454,319601664,Onboarded,Yes
MI-SB03,MI-SB03,319601808,Onboarded,Yes
MI-SB28,MI-SB28,319601935,Onboarded,Yes
MI-1232,MI-1232,322384784,Onboarded,Yes
MI-SB52,MI-SB52,322384787,Onboarded,Yes
MI-SB130,MI-SB130,329787480,Onboarded,Yes
MI-512B,MI-512B,319149673,Onboarded,Yes
MI-512L,MI-512L,319149619,Onboarded,Yes
MI-514,MI-514,319149632,Onboarded,Yes
MI-515,MI-515,319149638,Onboarded,Yes
MI-606L,MI-606L,319149758,Onboarded,Yes
MI-606S,MI-606S,319149764,Onboarded,Yes
MI-3050,MI-3050,314606921,Onboarded,Yes
MI-4601,MI-4601,314610387,Onboarded,Yes
MI-4471,MI-4471,314610404,Onboarded,Yes
MI-1121M,MI-1121M,314610419,Onboarded,Yes
MI-3991XL,MI-3991XL,314610433,Onboarded,Yes
MI-431,MI-431,314610521,Onboarded,Yes
MI-4461-CBL,MI-4461-CBL,314707924,Onboarded,Yes
MI-4110,MI-4110,314708637,Onboarded,Yes
MI-318L,MI-318L,314711714,Onboarded,Yes
MI-3030,MI-3030,314744881,Onboarded,Yes
MI-372,MI-372,315699163,Onboarded,Yes
MI-392,MI-392,315699175,Onboarded,Yes
MI-4151,MI-4151,315707907,Onboarded,Yes
MI-429,MI-429,315708036,Onboarded,Yes
MI-2042,MI-2042,315708116,Onboarded,Yes
MI-2042L,MI-2042L,315716919,Onboarded,Yes
MI-383,MI-383,315725596,Onboarded,Yes
MI-404,MI-404,316091450,Onboarded,Yes
MI-752,MI-752,316091476,Onboarded,Yes
MI-782,MI-782,317535387,Onboarded,Yes
MI-787,MI-787,317535401,Onboarded,Yes
MI-878,MI-878,317535433,Onboarded,Yes
MI-2041,MI-2041,317535630,Onboarded,Yes
MI-2829,MI-2829,317535749,Onboarded,Yes
MI-407-1,MI-407-1,317535811,Onboarded,Yes
MI-6524,MI-6524,317535965,Onboarded,Yes
MI-4200,MI-4200,317535997,Onboarded,Yes
MI-1131L,MI-1131L,317539737,Onboarded,Yes
MI-303B,MI-303B,317539843,Onboarded,Yes
MI-8401,MI-8401,317540246,Onboarded,Yes
MI-4211,MI-4211,317540372,Onboarded,Yes
MI-894,MI-894,317540420,Onboarded,Yes
MI-4222,MI-4222,317540438,Onboarded,Yes
MI-4481,MI-4481,317540463,Onboarded,Yes
MI-874,MI-874,317540480,Onboarded,Yes
MI-369B,MI-369B,317540502,Onboarded,Yes
MI-501L,MI-501L,317540630,Onboarded,Yes
MI-604,MI-604,317541249,Onboarded,Yes
MI-1121L,MI-1121L,318971331,Onboarded,Yes
MI-1246F,MI-1246F,318972333,Onboarded,Yes
MI-13050XL,MI-13050XL,318972357,Onboarded,Yes
MI-1771,MI-1771S,318972451,Onboarded,Yes
MI-1870,MI-1870,318972473,Onboarded,Yes
MI-1876,MI-1876,318972479,Onboarded,Yes
MI-1877,MI-1877,318972625,Onboarded,Yes
MI-203T,MI-203T,318972651,Onboarded,Yes
MI-2041L,MI-2041L,318972887,Onboarded,Yes
MI-2065L,MI-2065L,318989157,Onboarded,Yes
MI-2244T,MI-2244T,318989165,Onboarded,Yes
MI-3030XL,MI-3030XL,319000509,Onboarded,Yes
MI-306,MI-306,319000648,Onboarded,Yes
MI-346L,MI-346L,319000630,Onboarded,Yes
MI-367,MI-367,319000686,Onboarded,Yes
MI-376,MI-376,319000716,Onboarded,Yes
MI-391,MI-391,319001028,Onboarded,Yes
MI-393,MI-393,319000909,Onboarded,Yes
MI-394,MI-394,319001044,Onboarded,Yes
MI-3990,MI-3990,319001047,Onboarded,Yes
MI-3991B,MI-3991B,319000921,Onboarded,Yes
MI-3991L,MI-3991L,319000926,Onboarded,Yes
MI-4223,MI-4223,319147813,Onboarded,Yes
MI-430,MI-430,319147924,Onboarded,Yes
MI-432,MI-432,319147942,Onboarded,Yes
MI-8402,MI-8402,319279442,Onboarded,Yes
MI-847,MI-847,319279498,Onboarded,Yes
MI-855,MI-855,319279505,Onboarded,Yes
MI-864,MI-864,319279556,Onboarded,Yes
MI-879,MI-879,319279807,Onboarded,Yes
MI-889,MI-889,319279656,Onboarded,Yes
MI-M8KIT,MI-M8KIT,319601881,Onboarded,Yes
MI-501B,MI-501B,320438394,Onboarded,Yes
MI-502B,MI-502B,320438395,Onboarded,Yes
MI-509XL,MI-509XL,320438397,Onboarded,Yes
MI-510,MI-510,320438398,Onboarded,Yes
MI-506,MI-506,320438403,Onboarded,Yes
MI-395,MI-395,322385451,Onboarded,Yes
MI-4224,MI-4224,322385454,Onboarded,Yes
MI-305B,MI-305B,314610368,Onboarded,Yes
MI-305L,MI-305L,317539958,Onboarded,Yes
MI-319B,MI-319B,315708697,Onboarded,Yes
MI-319L,MI-319L,317535151,Onboarded,Yes
MI-848,MI-848,317536089,Onboarded,Yes
MI-849,MI-849,317539331,Onboarded,Yes
MI-509B,MI-509B,315707885,Onboarded,Yes
MI-509L,MI-509L,317733501,Onboarded,Yes
MI-302,MI-302,326188706,Onboarded,Yes
MI-396,MI-396,327636640,Onboarded,Yes
MI-307,MI-307,327653120,Onboarded,Yes
MI-386,MI-386,327686202,Onboarded,Yes
MI-1377,MI-1377,328121723,Onboarded,Yes
MI-310L,MI-310L,328122772,Onboarded,Yes
MI-381,MI-381,328136030,Onboarded,Yes
MI-390XL,MI-390XL,328136918,Onboarded,Yes
MI-4225,MI-4225,328137267,Onboarded,Yes
MI-386W,MI-386W,329308697,Onboarded,Yes
MI-14003,MI-14003,329315208,Onboarded,Yes
MI-14002,MI-14002,329778689,Onboarded,Yes
MI-363,MI-363,329779171,Onboarded,Yes
MI-374,MI-374,329779350,Onboarded,Yes
MI-382,MI-382,329779549,Onboarded,Yes
MI-876,MI-876,329787064,Onboarded,Yes
MI-854,MI-854,329787314,Onboarded,Yes
MI-391XL,MI-391XL,329806364,Onboarded,Yes
MI-397,MI-397,329806590,Onboarded,Yes
MI-4223W,MI-4223W,329806729,Onboarded,Yes
MI-4224W,MI-4224W,329806890,Onboarded,Yes
MI-442,MI-442,329807032,Onboarded,Yes
MI-509B_WHT,MI-509B_WHT,329807506,Onboarded,Yes
MI-803,MI-803,319279158,Onboarded,Yes
MI-859,MI-859,319279528,Onboarded,Yes
MI-893,MI-893,319279664,Onboarded,Yes
MI-895,MI-895,319279667,Onboarded,Yes
MI-896,MI-896,319279673,Onboarded,Yes
MI-897,MI-897,319279981,Onboarded,Yes
MI-9005,MI-9005,319280209,Onboarded,Yes
MI-355,MI-355,319280967,Onboarded,Yes
MI-356,MI-356,319280877,Onboarded,Yes
MI-7631,MI-7631,322319963,Onboarded,Yes
MI-7632,MI-7632,322323862,Onboarded,Yes
MI-7633,MI-7633,322323864,Onboarded,Yes
MI-640,MI-640,319149820,Onboarded,Yes
MI-7943,MI-7943,317540919,Onboarded,Yes
MI-3786,MI-3786,317541219,Onboarded,Yes
MI-3785,MI-3785,319000816,Onboarded,Yes
MI-3770B_G8,MI-3770B_G8,319000732,Onboarded,Yes
MI-7510,MI-7510,329413272,Onboarded,Yes
MI-3774B_G10,MI-3774B_G10,329576487,Onboarded,Yes
MI-3774W_G10,MI-3774W_G10,329576710,Onboarded,Yes
MI-3783_G10,MI-3783_G10,329787880,Onboarded,Yes
MI-3784,MI-3784,329788041,Onboarded,Yes
MI-3870B,MI-3870B,329788224,Onboarded,Yes
MI-3871B,MI-3871B,329788562,Onboarded,Yes
MI-2781B,MI-2781B,315868599,Onboarded,Yes
MI-2752,MI-2752,315868620,Onboarded,Yes
MI-2753,MI-2753,315868863,Onboarded,Yes
MI-1757,MI-1757,315869396,Onboarded,Yes
MI-1752,MI-1752,315869404,Onboarded,Yes
MI-705,MI-705,316091500,Onboarded,Yes
MI-792,MI-792,316091509,Onboarded,Yes
MI-2752L,MI-2752L,316091535,Onboarded,Yes
MI-1781,MI-1781,316091542,Onboarded,Yes
MI-2789,MI-2789,316091549,Onboarded,Yes
MI-706,MI-706,316091559,Onboarded,Yes
MI-1772B,MI-1772B,316091574,Onboarded,Yes
MI-1753,MI-1753,316091580,Onboarded,Yes
MI-2751,MI-2751,316091613,Onboarded,Yes
MI-4762,MI-4762,316091618,Onboarded,Yes
MI-1771B,MI-1771B,316091635,Onboarded,Yes
MI-4771,MI-4771,317540679,Onboarded,Yes
MI-709,MI-709,317540703,Onboarded,Yes
MI-7915,MI-7915,317540749,Onboarded,Yes
MI-7919,MI-7919,317540772,Onboarded,Yes
MI-2781,MI-2781,317540809,Onboarded,Yes
MI-765,MI-765,317540817,Onboarded,Yes
MI-753XL,MI-753XL,317540827,Onboarded,Yes
MI-766,MI-766,317540902,Onboarded,Yes
MI-7948,MI-7948,317540944,Onboarded,Yes
MI-7905,MI-7905,317540951,Onboarded,Yes
MI-2352T,MI-2352T,317541005,Onboarded,Yes
MI-4352LT,MI-4352LT,317541045,Onboarded,Yes
MI-7135,MI-7135,317541611,Onboarded,Yes
MI-1758,MI-1758,318972432,Onboarded,Yes
MI-1766B,MI-1766,318972445,Onboarded,Yes
MI-2672,MI-2672,318989176,Onboarded,Yes
MI-2761,MI-2761,318989187,Onboarded,Yes
MI-2772,MI-2772,318989190,Onboarded,Yes
MI-2789XL,MI-2789XL,318989129,Onboarded,Yes
MI-3753,MI-3753B,319000702,Onboarded,Yes
MI-4753B,MI-4753B,319149662,Onboarded,Yes
MI-7153,MI-7153,319149954,Onboarded,Yes
MI-7153,MI-7153,319149907,Onboarded,Yes
MI-7210,MI-7210,319149962,Onboarded,Yes
MI-7211,MI-7211,319149972,Onboarded,Yes
MI-7212,MI-7212,319149976,Onboarded,Yes
MI-7262,MI-7262,319151374,Onboarded,Yes
MI-7263,MI-7263,319149996,Onboarded,Yes
MI-7264,MI-7264,319151540,Onboarded,Yes
MI-7265,MI-7265,319151833,Onboarded,Yes
MI-7270,MI-7270,319152112,Onboarded,Yes
MI-7271,MI-7271,319151668,Onboarded,Yes
MI-7272,MI-7272,319152386,Onboarded,Yes
MI-7273,MI-7273,319151680,Onboarded,Yes
MI-7276,MI-7276,319152395,Onboarded,Yes
MI-7363,MI-7363,319151693,Onboarded,Yes
MI-751,MI-751,319151694,Onboarded,Yes
MI-753,MI-753,319151710,Onboarded,Yes
MI-75806,MI-75806,319151712,Onboarded,Yes
MI-75816,MI-75816,319151713,Onboarded,Yes
MI-75906,MI-75906,319151721,Onboarded,Yes
MI-780,MI-780,319151731,Onboarded,Yes
MI-789,MI-789,319205390,Onboarded,Yes
MI-3793,MI-3793,319601393,Onboarded,Yes
MI-3794,MI-3794,319601471,Onboarded,Yes
MI-3795,MI-3795,319601488,Onboarded,Yes
MI-3796,MI-3796,319601499,Onboarded,Yes
MI-481,MI-481,319788997,Onboarded,Yes
MI-482,MI-482,319789009,Onboarded,Yes
MI-7366,MI-7366,319949405,Onboarded,Yes
MI-63151,MI-63151,322384242,Onboarded,Yes
MI-63156,MI-63156,322384243,Onboarded,Yes
MI-7352LTMN,MI-7352LTMN,322384244,Onboarded,Yes
MI-7157,MI-7157,322384245,Onboarded,Yes
MI-7352LT,MI-7352LT,322384248,Onboarded,Yes
MI-4881,MI-4881,326135213,Onboarded,Yes
MI-4882,MI-4882,326135228,Onboarded,Yes
MI-1768,MI-1768,329375049,Onboarded,Yes
MI-2754,MI-2754,329389251,Onboarded,Yes
MI-2762,MI-2762,329390136,Onboarded,Yes
MI-34116,MI-34116,329390509,Onboarded,Yes
MI-4761,MI-4761,329390701,Onboarded,Yes
MI-4884B,MI-4884B,329391123,Onboarded,Yes
MI-55111,MI-55111,329392426,Onboarded,Yes
MI-65156,MI-65156,329392761,Onboarded,Yes
MI-6771,MI-6771,329392893,Onboarded,Yes
MI-708,MI-708,329393232,Onboarded,Yes
MI-75811,MI-75811,329393453,Onboarded,Yes
MI-75911,MI-75911,329404397,Onboarded,Yes
MI-75921,MI-75921,329404520,Onboarded,Yes
MI-75926,MI-75926,329404630,Onboarded,Yes
MI-9009,MI-9009,329404942,Onboarded,Yes
MI-7267,MI-7267,329406010,Onboarded,Yes
MI-7275,MI-7275,329408488,Onboarded,Yes
MI-7364,MI-7364,329408921,Onboarded,Yes
MI-2758,MI-2758,329409426,Onboarded,Yes
MI-2784,MI-2784,329409742,Onboarded,Yes
MI-781,MI-781,329410508,Onboarded,Yes
MI-1765LT,MI-1765LT,329554773,Onboarded,Yes
MI-4352LTMN,MI-4352LTMN,329554774,Onboarded,Yes
MI-6352LT,MI-6352LT,329554775,Onboarded,Yes
MI-6352LTMN,MI-6352LTMN,329554776,Onboarded,Yes
MI-73716,MI-73716,329554777,Onboarded,Yes
MI-7410,MI-7410,329554778,Onboarded,Yes
MI-75901,MI-75901,329554994,Onboarded,Yes
MI-3772B_G10,MI-3772B_G10,329494824,Onboarded,Yes
MI-3772W_G10,MI-3772W_G10,329575726,Onboarded,Yes
MI-3770B_G10,MI-3770B_G10,329824579,Onboarded,Yes
MI-3770W_G10,MI-3770W_G10,329824679,Onboarded,Yes
MI-3771W_G10,Mi-3771W_G10,329824786,Onboarded,Yes
MI-3771B_G10,MI-3771B_G10,329825061,Onboarded,Yes
MI-7281,MI-7281,319152405,Onboarded,Yes
MI-7280,MI-7280,319601785,Onboarded,Yes
MI-350,MI-350,317541760,Onboarded,Yes
MI-TVHWKIT,MI-TVHWKIT,317541716,Onboarded,Yes
MI-351,MI-351,317541757,Onboarded,Yes
MI-9000,MI-9000,317552215,Onboarded,Yes
MI-9014,MI-9014,319280452,Onboarded,Yes
MI-902,MI-902,313480736,Onboarded,Yes
MI-927,MI-927,319280735,Onboarded,Yes
MI-950,MI-950,322325301,Onboarded,Yes
MI-952,MI-952,322325303,Onboarded,Yes
MI-953,MI-953,322325304,Onboarded,Yes
MI-904,MI-904,313507954,Onboarded,Yes
MI-905,MI-905,313565097,Onboarded,Yes
MI-913,MI-913,313572859,Onboarded,Yes
MI-920,MI-920,313573101,Onboarded,Yes
MI-921,MI-921,313573763,Onboarded,Yes
MI-912,MI-912,317554119,Onboarded,Yes
MI-925,MI-925,317554959,Onboarded,Yes
MI-926,MI-926,317555415,Onboarded,Yes
MI-901,MI-901,319280349,Onboarded,Yes
MI-7314,MI-7314,322324634,Onboarded,Yes
MI-7313,MI-7313,322324650,Onboarded,Yes
MI-7320,MI-7320,317541144,Onboarded,Yes
MI-7321,MI-7321,317541197,Onboarded,Yes
MI-7936A,MI-7936A,329625804,Onboarded,Yes
MI-7701,MI-7701,329629391,Onboarded,Yes
MI-7702,MI-7702,329672991,Onboarded,Yes
MI-7703,MI-7703,329673960,Onboarded,Yes
MI-7704,MI-7704,329674264,Onboarded,Yes
MI-868,MI-868,317540611,Onboarded,Yes
MI-7801,MI-7801,317541450,Onboarded,Yes
MI-7808,MI-7808,317541499,Onboarded,Yes
MI-7250,MI-7250,319149984,Onboarded,Yes
MI-7251,MI-7251,319150853,Onboarded,Yes
MI-7802,MI-7802,319151736,Onboarded,Yes
MI-7851,MI-7851,319167772,Onboarded,Yes
MI-7855A,MI-7855A,319167880,Onboarded,Yes
MI-7171,MI-7171,329802039,Onboarded,Yes
MI-7172,MI-7172,329802489,Onboarded,Yes
MI-7991,MI-7991,319278131,Onboarded,Yes
MI-7992,MI-7992,319278061,Onboarded,Yes
MI-7998,MI-7998B,319278146,Onboarded,Yes
MI-7917,MI-7917,329807935,Onboarded,Yes
MI-7993W,MI-7993W,329807946,Onboarded,Yes
MI-7903,MI-7903,329821451,Onboarded,Yes
MI-7904,MI-7904,329822525,Onboarded,Yes
MI-7931,MI-7931,317056000,Onboarded,Yes
MI-7926,MI-7926,317056309,Onboarded,Yes
MI-7934,MI-7934,317056344,Onboarded,Yes
MI-7929,MI-7929,317056407,Onboarded,Yes
MI-7957,MI-7957,317056458,Onboarded,Yes
MI-7962,MI-7962,317056517,Onboarded,Yes
MI-7951,MI-7951,317056545,Onboarded,Yes
MI-7952,MI-7952,317056553,Onboarded,Yes
MI-7999,MI-7999,317131934,Onboarded,Yes
MI-7916,MI-7916,319205404,Onboarded,Yes
MI-7925,MI-7925,319205405,Onboarded,Yes
MI-7927E,MI-7927E,319205530,Onboarded,Yes
MI-7942,MI-7942,319205774,Onboarded,Yes
MI-7955,MI-7955,319205697,Onboarded,Yes
MI-7982,MI-7982,319277992,Onboarded,Yes
MI-8050,MI-8050,319279185,Onboarded,Yes
MI-7983,MI-7983,320489737,Onboarded,Yes
MI-7996,MI-7996,320489738,Onboarded,Yes
MI-7984,MI-7984,320489739,Onboarded,Yes
MI-7995,MI-7995,320489740,Onboarded,Yes
MI-18061,MI-18061,319949659,Onboarded,Yes
MI-18062,MI-18062,320543280,Onboarded,Yes
MI-18064,MI-18064,320528249,Onboarded,Yes
MI-18065,MI-18065,320528250,Onboarded,Yes
MI-18067,MI-18067,320531134,Onboarded,Yes
MI-18068,MI-18068,320531136,Onboarded,Yes
MI-18070,MI-18070,320546882,Onboarded,Yes
MI-18071,MI-18071,320546883,Onboarded,Yes
MI-7980B,MI-7980B,317055963,Onboarded,Yes
MI-7980W,MI-7980W,317055978,Onboarded,Yes
MI-7979W,MI-7979W,326175472,Onboarded,Yes
MI-18095,MI-18095,329466000,Onboarded,Yes
MI-18096,MI-18096,329466001,Onboarded,Yes
MI-18097,MI-18097,329466002,Onboarded,Yes
MI-18098,MI-18098,329466003,Onboarded,Yes
MI-18111,MI-18111,329466004,Onboarded,Yes
MI-18112,MI-18112,329466005,Onboarded,Yes
MI-18077,MI-18077,329677273,Onboarded,Yes
MI-18078,MI-18078,329677834,Onboarded,Yes
MI-18079,MI-18079,329678476,Onboarded,Yes
MI-18080,MI-18080,329678587,Onboarded,Yes
MI-18081,MI-18081,329678639,Onboarded,Yes
MI-18082,MI-18082,329678697,Onboarded,Yes
MI-18105,MI-18105,329678792,Onboarded,Yes
MI-18106,MI-18106,329678847,Onboarded,Yes
MI-18083,MI-18083,329678974,Onboarded,Yes
MI-18084,MI-18084,329679033,Onboarded,Yes
MI-18085,MI-18085,329679073,Onboarded,Yes
MI-18086,MI-18086,329679133,Onboarded,Yes
MI-18087,MI-18087,329690363,Onboarded,Yes
MI-18088,MI-18088,329690680,Onboarded,Yes
MI-18089,MI-18089,329690819,Onboarded,Yes
MI-18090,MI-18090,329690900,Onboarded,Yes
MI-18091,MI-18091,329702409,Onboarded,Yes
MI-18092,MI-18092,329702667,Onboarded,Yes
MI-18093,MI-18093,329702746,Onboarded,Yes
MI-18094,MI-18094,329702793,Onboarded,Yes
MI-18069,MI-18069,329721993,Onboarded,Yes
MI-15002,MI-15002,329702980,Onboarded,Yes
MI-15003,MI-15003,329703228,Onboarded,Yes
MI-15010,MI-15010,329703355,Onboarded,Yes
MI-18063,MI-18063,329721524,Onboarded,Yes
MI-7981,MI-7981,329722380,Onboarded,Yes
MI-8010,MI-8010,329757393,Onboarded,Yes
MI-8011,MI-8011,329757585,Onboarded,Yes
MI-8012,MI-8012,329757908,Onboarded,Yes
MI-8053,MI-8053,329758255,Onboarded,Yes
MI-8052,MI-8052,329758504,Onboarded,Yes
MI-7906,MI-7906,329807646,Onboarded,Yes
MI-7914,MI-7914,317541641,Onboarded,Yes
MI-7945,MI-7945,319205780,Onboarded,Yes
MI-7946,MI-7946,319205682,Onboarded,Yes
MI-7953,MI-7953,319205686,Onboarded,Yes
MI-7969,MI-7969,319205698,Onboarded,Yes
MI-7970B,MI-7970B,319205704,Onboarded,Yes
MI-7972B,MI-7972B,319277799,Onboarded,Yes
MI-7987,MI-7987,319278094,Onboarded,Yes
MI-7941,MI-7941,329823641,Onboarded,Yes
MI-7972,MI-7972,329824255,Onboarded,Yes
MI-7997,MI-7997,329824377,Onboarded,Yes
MI-8040,MI-8040,329824551,Onboarded,Yes
MI-907,MI-907,317554580,Onboarded,Yes
MI-8670,MI-8670,329790853,Onboarded,Yes
MI-941B,MI-941B,329824682,Onboarded,Yes
MI-941W,MI-941W,329824769,Onboarded,Yes
MI-944B,MI-944B,329824973,Onboarded,Yes
MI-944W,MI-944W,329825205,Onboarded,Yes
MI-943,MI-943,329825276,Onboarded,Yes
MI-932,MI-932,319280754,Onboarded,Yes
MI-7803,MI-7803,319152497,Onboarded,Yes
MI-7804,MI-7804,319152546,Onboarded,Yes
MI-7145,MI-7145,317541405,Onboarded,Yes
MI-7137,MI-7137,317541560,Onboarded,Yes
MI-10204,MI-10204,318970795,Onboarded,Yes
MI-10203,MI-10203,317541702,Onboarded,Yes
MI-10201,MI-10201,317541686,Onboarded,Yes
MI-10202,MI-10202,317541695,Onboarded,Yes
WI-3001,WI-3001,315755652,Onboarded,Yes
WI-3002,WI-3002,315755668,Onboarded,Yes
WI-3003,WI-3003,315755671,Onboarded,Yes
WI-4001,WI-4001,315755706,Onboarded,Yes
WI-4002,WI-4002,315755723,Onboarded,Yes
WI-4013,WI-4013,319601105,Onboarded,Yes
MI-7144,MI-7144,317541465,Onboarded,Yes
MI-7136,MI-7136,317552666,Onboarded,Yes
MI-7150,MI-7150,319149890,Onboarded,Yes
MI-7282,MI-7282,319152408,Onboarded,Yes
MI-7362,MI-7362,317554141,Onboarded,Yes
MI-7365,MI-7365,317554210,Onboarded,Yes
MI-7138,MI-7138,319601734,Onboarded,Yes
MI-7143,MI-7143,319601839,Onboarded,Yes
MI-7146,MI-7146,319601760,Onboarded,Yes
MI-7147,MI-7147,319601766,Onboarded,Yes
MI-7290,MI-7290,319151687,Onboarded,Yes
MI-7292,MI-7292,319151689,Onboarded,Yes
MI-7970,MI-7970,317056166,Onboarded,Yes
MI-7940,MI-7940,317056228,Onboarded,Yes
MI-7940B,MI-7940B,317056258,Onboarded,Yes
MI-7942B,MI-7942B,317056272,Onboarded,Yes
MI-908,MI-908,313509727,Onboarded,Yes
MI-909,MI-909,319280578,Onboarded,Yes
WI-4012,WI-4012,313576409,Onboarded,Yes
WI-4011,WI-4011,313611725,Onboarded,Yes
MI-924,MI-924,317555399,Onboarded,Yes
MI-7858,MI-7858,319167894,Onboarded,Yes
MI-7860,MI-7860,319205412,Onboarded,Yes
MI-914,MI-914,319249833,Onboarded,Yes
MI-906,MI-906,319280474,Onboarded,Yes
MI-907S,MI-907S,319280586,Onboarded,Yes
MI-927,MI-927,319597606,Onboarded,Yes
MI-928,MI-928,319597623,Onboarded,Yes
MI-7861,MI-7861,319205428,Onboarded,Yes
MI-7862,MI-7862,319205430,Onboarded,Yes
MI-891,MI-891,317535873,Onboarded,Yes
MI-892,MI-892,317539517,Onboarded,Yes
MI-10703,MI-10703,318971312,Onboarded,Yes
MI-10702,MI-10702,318971194,Onboarded,Yes
MI-7856,MI-7856,322386105,Onboarded,Yes
MI-7857,MI-7857,322386106,Onboarded,Yes
